run,model,kd_method,corruption,severity,acc,ece,nll,brier,mean_conf,agreement,kl_ts,agreement_on_teacher_errors
student_resnet8x4_dkd_s1,resnet8x4,dkd,jpeg_compression,3,0.5022000074386597,0.08506807684898376,2.0399134159088135,0.6535340547561646,0.5813621282577515,0.5401999950408936,1.0174978971481323,0.2896593511104584
student_resnet8x4_dkd_s2,resnet8x4,dkd,jpeg_compression,3,0.5005999803543091,0.09648223221302032,2.0816891193389893,0.6613881587982178,0.5935561060905457,0.5389000177383423,1.0493848323822021,0.2868373394012451
student_resnet8x4_dkd_tckd,resnet8x4,dkd,jpeg_compression,3,0.41339999437332153,0.26002103090286255,2.963412284851074,0.8195862174034119,0.6734210848808289,0.44600000977516174,2.305971384048462,0.24067728221416473
student_resnet8x4_kd_s1,resnet8x4,kd,jpeg_compression,3,0.4715000092983246,0.21762384474277496,2.482649564743042,0.744424045085907,0.689123809337616,0.5015000104904175,1.550342082977295,0.260028213262558
student_resnet8x4_kd_s2,resnet8x4,kd,jpeg_compression,3,0.46320000290870667,0.2202834188938141,2.5182225704193115,0.7554351687431335,0.6834834218025208,0.4950000047683716,1.5416558980941772,0.256399929523468
student_resnet8x4_dkd_nckd,resnet8x4,dkd,jpeg_compression,4,0.45170000195503235,0.0348774790763855,2.2164194583892822,0.6933344006538391,0.4337884783744812,0.5121999979019165,1.020439624786377,0.2988266348838806
student_resnet8x4_dkd_s1,resnet8x4,dkd,jpeg_compression,4,0.4738999903202057,0.08913744986057281,2.181194305419922,0.6843722462654114,0.5624972581863403,0.5231000185012817,1.0742285251617432,0.29504162073135376
student_resnet8x4_dkd_s2,resnet8x4,dkd,jpeg_compression,4,0.4677000045776367,0.10602869838476181,2.223874092102051,0.6950325965881348,0.57266765832901,0.5117999911308289,1.1009464263916016,0.282551109790802
student_resnet8x4_dkd_tckd,resnet8x4,dkd,jpeg_compression,4,0.38530001044273376,0.27561742067337036,3.208142042160034,0.8558966517448425,0.6609174609184265,0.4189000129699707,2.450516939163208,0.2301286906003952
student_resnet8x4_kd_s1,resnet8x4,kd,jpeg_compression,4,0.43939998745918274,0.23061928153038025,2.646836042404175,0.7793555855751038,0.670019268989563,0.4652999937534332,1.645788311958313,0.2448902279138565
student_resnet8x4_kd_s2,resnet8x4,kd,jpeg_compression,4,0.4300000071525574,0.23660951852798462,2.6700148582458496,0.7919721007347107,0.6666095852851868,0.4675999879837036,1.617263913154602,0.25643453001976013
student_resnet8x4_dkd_nckd,resnet8x4,dkd,jpeg_compression,5,0.40630000829696655,0.027984628453850746,2.424842596054077,0.7364194393157959,0.4067748188972473,0.47369998693466187,1.074449896812439,0.28372010588645935
student_resnet8x4_dkd_s1,resnet8x4,dkd,jpeg_compression,5,0.4339999854564667,0.09958609938621521,2.3922152519226074,0.7326970100402832,0.5319921374320984,0.4821000099182129,1.1371705532073975,0.27674052119255066
student_resnet8x4_dkd_s2,resnet8x4,dkd,jpeg_compression,5,0.42399999499320984,0.1220632866024971,2.4494214057922363,0.7446025609970093,0.546063244342804,0.47679999470710754,1.1736664772033691,0.27464666962623596
student_resnet8x4_dkd_tckd,resnet8x4,dkd,jpeg_compression,5,0.34790000319480896,0.29762575030326843,3.6101739406585693,0.9081684350967407,0.6455256938934326,0.38339999318122864,2.632544994354248,0.22038038074970245
student_resnet8x4_kd_s1,resnet8x4,kd,jpeg_compression,5,0.4065999984741211,0.2442629337310791,2.8649723529815674,0.8221466541290283,0.6500213146209717,0.43810001015663147,1.736868977546692,0.23835282027721405
student_resnet8x4_kd_s2,resnet8x4,kd,jpeg_compression,5,0.38960000872612,0.2579854726791382,2.933915853500366,0.844632625579834,0.6475854516029358,0.428600013256073,1.7083228826522827,0.2397487312555313
student_resnet8x4_dkd_nckd,resnet8x4,dkd,speckle_noise,1,0.5241000056266785,0.03272945061326027,1.917294979095459,0.6220868229866028,0.5180495381355286,0.5929999947547913,0.9360963106155396,0.3432193398475647
student_resnet8x4_dkd_s1,resnet8x4,dkd,speckle_noise,1,0.5299000144004822,0.11293242871761322,1.9693619012832642,0.6330060958862305,0.6392905712127686,0.5960000157356262,0.9634902477264404,0.33771824836730957
student_resnet8x4_dkd_s2,resnet8x4,dkd,speckle_noise,1,0.5422000288963318,0.12320570647716522,1.932466983795166,0.6251122355461121,0.6624687314033508,0.5967000126838684,0.9870221614837646,0.3291078805923462
student_resnet8x4_dkd_tckd,resnet8x4,dkd,speckle_noise,1,0.42250001430511475,0.29301896691322327,3.1964995861053467,0.8428133726119995,0.7155189514160156,0.46970000863075256,2.329606771469116,0.2733795642852783
student_resnet8x4_kd_s1,resnet8x4,kd,speckle_noise,1,0.49459999799728394,0.24329379200935364,2.5337891578674316,0.7401370406150818,0.73789381980896,0.5482000112533569,1.5159624814987183,0.2975364625453949
student_resnet8x4_kd_s2,resnet8x4,kd,speckle_noise,1,0.482699990272522,0.2629096508026123,2.6297547817230225,0.7643309831619263,0.7450395822525024,0.5277000069618225,1.6865097284317017,0.2717053294181824
student_resnet8x4_dkd_nckd,resnet8x4,dkd,speckle_noise,2,0.31610000133514404,0.13447166979312897,3.1113603115081787,0.8646230697631836,0.44435131549835205,0.48429998755455017,1.1629058122634888,0.3801302909851074
student_resnet8x4_dkd_s1,resnet8x4,dkd,speckle_noise,2,0.30079999566078186,0.2922951579093933,3.678414821624756,0.9668228626251221,0.5914180874824524,0.46799999475479126,1.3334174156188965,0.36807817220687866
student_resnet8x4_dkd_s2,resnet8x4,dkd,speckle_noise,2,0.3052000105381012,0.32979995012283325,3.8134655952453613,0.9986480474472046,0.6349097490310669,0.4577000141143799,1.512515664100647,0.3464169502258301
student_resnet8x4_dkd_tckd,resnet8x4,dkd,speckle_noise,2,0.22930000722408295,0.48688971996307373,6.156406879425049,1.18769371509552,0.7161896228790283,0.3610000014305115,3.197216033935547,0.2990227937698364
student_resnet8x4_kd_s1,resnet8x4,kd,speckle_noise,2,0.260699987411499,0.4576939344406128,5.038107395172119,1.130774974822998,0.7183264493942261,0.41499999165534973,2.2647385597229004,0.33013027906417847
student_resnet8x4_kd_s2,resnet8x4,kd,speckle_noise,2,0.25209999084472656,0.4892055094242096,5.126994609832764,1.171047329902649,0.7413055896759033,0.3813000023365021,2.653357744216919,0.29250815510749817
student_resnet8x4_dkd_nckd,resnet8x4,dkd,speckle_noise,3,0.23720000684261322,0.19567979872226715,3.661924123764038,0.9552336931228638,0.4323998987674713,0.4650999903678894,1.1859740018844604,0.404937207698822
student_resnet8x4_dkd_s1,resnet8x4,dkd,speckle_noise,3,0.22429999709129333,0.37504154443740845,4.592287063598633,1.095594048500061,0.5980941653251648,0.450300008058548,1.4333734512329102,0.3942543566226959
student_resnet8x4_dkd_s2,resnet8x4,dkd,speckle_noise,3,0.22290000319480896,0.4339732527732849,4.859859943389893,1.1615679264068604,0.6568732857704163,0.4291999936103821,1.712518334388733,0.3688465356826782
student_resnet8x4_dkd_tckd,resnet8x4,dkd,speckle_noise,3,0.16949999332427979,0.5650849342346191,7.590603351593018,1.3179636001586914,0.7345849871635437,0.3571999967098236,3.360403060913086,0.3331889808177948
student_resnet8x4_kd_s1,resnet8x4,kd,speckle_noise,3,0.19110000133514404,0.5411468744277954,6.340476036071777,1.2753639221191406,0.7322468757629395,0.39820000529289246,2.502636432647705,0.35599827766418457
